"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/01/2017","AQS","410050004","1","0.037","ppm","34","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/02/2017","AQS","410050004","1","0.028","ppm","26","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/03/2017","AQS","410050004","1","0.03","ppm","28","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/04/2017","AQS","410050004","1","0.041","ppm","38","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/05/2017","AQS","410050004","1","0.043","ppm","40","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/06/2017","AQS","410050004","1","0.042","ppm","39","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/07/2017","AQS","410050004","1","0.041","ppm","38","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/08/2017","AQS","410050004","1","0.045","ppm","42","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/09/2017","AQS","410050004","1","0.049","ppm","45","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/10/2017","AQS","410050004","1","0.047","ppm","44","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/11/2017","AQS","410050004","1","0.04","ppm","37","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/17/2017","AQS","410050004","1","0.033","ppm","31","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/18/2017","AQS","410050004","1","0.041","ppm","38","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/19/2017","AQS","410050004","1","0.042","ppm","39","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/20/2017","AQS","410050004","1","0.035","ppm","32","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/21/2017","AQS","410050004","1","0.046","ppm","43","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/22/2017","AQS","410050004","1","0.061","ppm","71","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
