"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","410050004","3","6.2","ug/m3 LC","26","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/02/2022","AQS","410050004","3","2.8","ug/m3 LC","12","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/03/2022","AQS","410050004","3","1.2","ug/m3 LC","5","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/04/2022","AQS","410050004","3","1.5","ug/m3 LC","6","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/05/2022","AQS","410050004","3","2.6","ug/m3 LC","11","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/06/2022","AQS","410050004","3","1.2","ug/m3 LC","5","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/07/2022","AQS","410050004","3","2.1","ug/m3 LC","9","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/08/2022","AQS","410050004","3","4.1","ug/m3 LC","17","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/09/2022","AQS","410050004","3","6.7","ug/m3 LC","28","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"01/10/2022","AQS","410050004","3","11","ug/m3 LC","46","CARUS TRAILER/SPANGLER RD","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
