"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","410510080","1","1","ppm","11","Portland - SE Lafayette","19","79.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/02/2023","AQS","410510080","1","0.3","ppm","3","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/03/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/04/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/05/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/06/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/07/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/08/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/09/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/10/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/11/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/12/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/13/2023","AQS","410510080","1","0.3","ppm","3","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/14/2023","AQS","410510080","1","0.3","ppm","3","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/15/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/16/2023","AQS","410510080","1","0.5","ppm","6","Portland - SE Lafayette","15","63.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/17/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","8","33.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
