"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/01/2018","AQS","410050004","1","0.036","ppm","33","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/02/2018","AQS","410050004","1","0.046","ppm","43","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/03/2018","AQS","410050004","1","0.046","ppm","43","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/04/2018","AQS","410050004","1","0.036","ppm","33","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/05/2018","AQS","410050004","1","0.047","ppm","44","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/06/2018","AQS","410050004","1","0.032","ppm","30","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/07/2018","AQS","410050004","1","0.047","ppm","44","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/08/2018","AQS","410050004","1","0.034","ppm","31","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/09/2018","AQS","410050004","1","0.043","ppm","40","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
"05/10/2018","AQS","410050004","1","0.04","ppm","37","CARUS TRAILER/SPANGLER RD","17","100.0000","44201","Ozone","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","005","Clackamas","45.25928","-122.588151"
