"ReportDate","tot_ProAcres"
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,0
2017-02-08,0
2017-02-09,0
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,0
2017-03-17,0
2017-03-18,0
2017-03-19,0.01
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0.5
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,0
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0.7
2017-05-01,1.2
2017-05-02,0
2017-05-03,0.02
2017-05-04,1.41
2017-05-05,6.61
2017-05-06,0
2017-05-07,0
2017-05-08,1
2017-05-09,0.26
2017-05-10,0.1
2017-05-11,0
2017-05-12,0
2017-05-13,0.1
2017-05-14,0
2017-05-15,0.2
2017-05-16,0
2017-05-17,0
2017-05-18,4.9
2017-05-19,19
2017-05-20,0.01
2017-05-21,0.2
2017-05-22,0.1
2017-05-23,4.06
2017-05-24,0.02
2017-05-25,1.36
2017-05-26,84.96
2017-05-27,4.99
2017-05-28,2.65
2017-05-29,1.12
2017-05-30,0.41
2017-05-31,28.64
2017-06-01,4.07
2017-06-02,0.41
2017-06-03,0.9
2017-06-04,0.61
2017-06-05,0.42
2017-06-06,2.05
2017-06-07,2.86
2017-06-08,0.2
2017-06-09,0.1
2017-06-10,0
2017-06-11,0.01
2017-06-12,0.3
2017-06-13,1.93
2017-06-14,0.12
2017-06-15,0.1
2017-06-16,0.26
2017-06-17,1.27
2017-06-18,0.53
2017-06-19,1.43
2017-06-20,0.32
2017-06-21,3.33
2017-06-22,2.09
2017-06-23,0.45
2017-06-24,1.56
2017-06-25,17.56
2017-06-26,8.32
2017-06-27,0.71
2017-06-28,2.77
2017-06-29,3.57
2017-06-30,0.48
2017-07-01,0.21
2017-07-02,0.01
2017-07-03,177.93
2017-07-04,2.03
2017-07-05,38.89
2017-07-06,2.02
2017-07-07,2.75
2017-07-08,175.91
2017-07-09,51.15
2017-07-10,1.15
2017-07-11,0.8
2017-07-12,21708.54
2017-07-13,11.48
2017-07-14,4.75
2017-07-15,1.6
2017-07-16,42.5
2017-07-17,0.05
2017-07-18,1.94
2017-07-19,13.79
2017-07-20,0.26
2017-07-21,22.36
2017-07-22,0.88
2017-07-23,8.65
2017-07-24,577.19
2017-07-25,7.98
2017-07-26,5.67
2017-07-27,6.04
2017-07-28,1.06
2017-07-29,32.61
2017-07-30,11.4
2017-07-31,454.14
2017-08-01,3.69
2017-08-02,4.64
2017-08-03,38.67
2017-08-04,54.28
2017-08-05,310.4
2017-08-06,6.39
2017-08-07,603.91
2017-08-08,109.5
2017-08-09,253.36
2017-08-10,428.07
2017-08-11,1579.9
2017-08-12,84.5
2017-08-13,0.83
2017-08-14,140.81
2017-08-15,0.6
2017-08-16,1.87
2017-08-17,39.62
2017-08-18,0.36
2017-08-19,38.01
2017-08-20,0.86
2017-08-21,0.79
2017-08-22,8.56
2017-08-23,0.46
2017-08-24,9.14
2017-08-25,0.37
2017-08-26,16440.64
2017-08-27,1.09
2017-08-28,0.45
2017-08-29,537.97
2017-08-30,0.13
2017-08-31,0.42
2017-09-01,0.66
2017-09-02,1521.75
2017-09-03,0.38
2017-09-04,1.95
2017-09-05,0.55
2017-09-06,3.93
2017-09-07,3.22
2017-09-08,2.72
2017-09-09,9.69
2017-09-10,57.34
2017-09-11,3.09
2017-09-12,0.95
2017-09-13,0.07
2017-09-14,14.46
2017-09-15,9.3
2017-09-16,0.11
2017-09-17,4.11
2017-09-18,0.11
2017-09-19,0
2017-09-20,0.02
2017-09-21,0.01
2017-09-22,0.5
2017-09-23,0.6
2017-09-24,3.16
2017-09-25,0.01
2017-09-26,3.88
2017-09-27,2.17
2017-09-28,2.58
2017-09-29,0
2017-09-30,0.02
2017-10-01,5.26
2017-10-02,0.12
2017-10-03,0.31
2017-10-04,0.6
2017-10-05,10.1
2017-10-06,79.62
2017-10-07,0.22
2017-10-08,0
2017-10-09,2.72
2017-10-10,0.26
2017-10-11,0.01
2017-10-12,0.1
2017-10-13,0.02
2017-10-14,12.41
2017-10-15,1.53
2017-10-16,0.53
2017-10-17,1.32
2017-10-18,27.92
2017-10-19,29.58
2017-10-20,0.01
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,11.6
2017-10-25,0.26
2017-10-26,48.34
2017-10-27,1.76
2017-10-28,3
2017-10-29,0
2017-10-30,830.21
2017-10-31,15.71
2017-11-01,0.2
2017-11-02,0.05
2017-11-03,0.01
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0.01
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,0.01
2017-11-29,0
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,0
2017-12-04,0
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,0
2017-12-09,37.2
2017-12-10,75
2017-12-11,0.01
2017-12-12,14.1
2017-12-13,15
2017-12-14,0
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0
2017-12-24,1.5
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,0
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0.01
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,19.3
2018-02-10,15.25
2018-02-11,0
2018-02-12,0
2018-02-13,0.02
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0.01
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0.9
2018-03-13,0
2018-03-14,0
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,0
2018-03-20,0
2018-03-21,0
2018-03-22,0
2018-03-23,0
2018-03-24,0
2018-03-25,0
2018-03-26,0
2018-03-27,0
2018-03-28,0
2018-03-29,0.01
2018-03-30,0.06
2018-03-31,0
2018-04-01,0.01
2018-04-02,0
2018-04-03,4.1
2018-04-04,0
2018-04-05,2.25
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
2018-04-10,0
2018-04-11,0
2018-04-12,0
2018-04-13,0
2018-04-14,0
2018-04-15,0
2018-04-16,0
2018-04-17,0
2018-04-18,0
2018-04-19,0
2018-04-20,0
2018-04-21,0
2018-04-22,10.86
2018-04-23,0.51
2018-04-24,9
2018-04-25,5.5
2018-04-26,0.26
2018-04-27,1.65
2018-04-28,0.1
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,0
2018-05-03,0
2018-05-04,0.28
2018-05-05,0.01
2018-05-06,1.84
2018-05-07,7.16
2018-05-08,0.02
2018-05-09,0.1
2018-05-10,1.56
2018-05-11,0.31
2018-05-12,4.66
2018-05-13,2.63
2018-05-14,1.87
2018-05-15,0.9
2018-05-16,5.27
2018-05-17,0.3
2018-05-18,4.72
2018-05-19,1.26
2018-05-20,0.19
2018-05-21,0.91
2018-05-22,26.63
2018-05-23,7.6
2018-05-24,1.32
2018-05-25,0.02
2018-05-26,3.1
2018-05-27,4.51
2018-05-28,5.45
2018-05-29,1.72
2018-05-30,1.8
2018-05-31,2.75
2018-06-01,1.34
2018-06-02,0.36
2018-06-03,56.94
2018-06-04,1.65
2018-06-05,0.35
2018-06-06,1.93
2018-06-07,1.85
2018-06-08,31.16
2018-06-09,0
2018-06-10,0.11
2018-06-11,0.25
2018-06-12,2.7
2018-06-13,0.12
2018-06-14,0.72
2018-06-15,12.92
2018-06-16,0.01
2018-06-17,0.77
2018-06-18,0.07
2018-06-19,0.35
2018-06-20,9.37
2018-06-21,1053.81
2018-06-22,5.45
2018-06-23,0.31
2018-06-24,1.34
2018-06-25,1.12
2018-06-26,2.41
2018-06-27,0.27
2018-06-28,0.24
2018-06-29,18.44
2018-06-30,0.99
2018-07-01,402.27
2018-07-02,2
2018-07-03,0.92
2018-07-04,49.64
2018-07-05,2323.6
2018-07-06,75.87
2018-07-07,0.5
2018-07-08,1.36
2018-07-09,8.8
2018-07-10,30.39
2018-07-11,4.11
2018-07-12,31.61
2018-07-13,0.83
2018-07-14,3.04
2018-07-15,34972.85
2018-07-16,7878.64
2018-07-17,40.54
2018-07-18,11.27
2018-07-19,23.73
2018-07-20,52.28
2018-07-21,1815.59
2018-07-22,0.22
2018-07-23,188.95
2018-07-24,56.14
2018-07-25,7.73
2018-07-26,0.36
2018-07-27,0.25
2018-07-28,0.03
2018-07-29,0.96
2018-07-30,35.7
2018-07-31,5.59
2018-08-01,7759.14
2018-08-02,0.4
2018-08-03,0.14
2018-08-04,3.15
2018-08-05,26.72
2018-08-06,0.36
2018-08-07,0
2018-08-08,6.67
2018-08-09,14.71
2018-08-10,1061.24
2018-08-11,0.21
2018-08-12,7.42
2018-08-13,11.45
2018-08-14,0.74
2018-08-15,12954.23
2018-08-16,31.23
2018-08-17,1032.06
2018-08-18,16.4
2018-08-19,20.71
2018-08-20,809.16
2018-08-21,57.84
2018-08-22,1977.61
2018-08-23,6.8
2018-08-24,1.22
2018-08-25,5.52
2018-08-26,0.37
2018-08-27,0.55
2018-08-28,0.88
2018-08-29,0.36
2018-08-30,0.02
2018-08-31,136.87
2018-09-01,3.58
2018-09-02,218.6
2018-09-03,2.11
2018-09-04,0.84
2018-09-05,15.53
2018-09-06,0.14
2018-09-07,5.13
2018-09-08,0.17
2018-09-09,3.18
2018-09-10,2.21
2018-09-11,0.31
2018-09-12,0.36
2018-09-13,0.12
2018-09-14,0.01
2018-09-15,0.25
2018-09-16,4.61
2018-09-17,1.52
2018-09-18,0.42
2018-09-19,0.52
2018-09-20,129.5
2018-09-21,1.1
2018-09-22,0.1
2018-09-23,29.53
2018-09-24,1.06
2018-09-25,0.03
2018-09-26,13.94
2018-09-27,31.88
2018-09-28,5.41
2018-09-29,0.11
2018-09-30,0.4
2018-10-01,20.3
2018-10-02,0.4
2018-10-03,1.56
2018-10-04,9.4
2018-10-05,0.12
2018-10-06,0.11
2018-10-07,0.12
2018-10-08,0
2018-10-09,1.03
2018-10-10,0.36
2018-10-11,6.12
2018-10-12,5.26
2018-10-13,1.36
2018-10-14,79.35
2018-10-15,6.02
2018-10-16,0.45
2018-10-17,11.92
2018-10-18,0.04
2018-10-19,27.53
2018-10-20,3.49
2018-10-21,1.4
2018-10-22,1.23
2018-10-23,0.75
2018-10-24,0.85
2018-10-25,3.34
2018-10-26,0.11
2018-10-27,1.05
2018-10-28,0.84
2018-10-29,0.1
2018-10-30,0.01
