"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","410510080","1","23.7","ppb","22","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/02/2023","AQS","410510080","1","4.5","ppb","4","Portland - SE Lafayette","23","96.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/03/2023","AQS","410510080","1","16.1","ppb","15","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/04/2023","AQS","410510080","1","4.3","ppb","4","Portland - SE Lafayette","22","92.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/05/2023","AQS","410510080","1","8.4","ppb","8","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/06/2023","AQS","410510080","1","15.3","ppb","14","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/07/2023","AQS","410510080","1","12.9","ppb","11","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/08/2023","AQS","410510080","1","17.3","ppb","16","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/09/2023","AQS","410510080","1","20.3","ppb","19","Portland - SE Lafayette","23","96.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/10/2023","AQS","410510080","1","15.1","ppb","14","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/11/2023","AQS","410510080","1","9","ppb","8","Portland - SE Lafayette","23","96.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/13/2023","AQS","410510080","1","19.2","ppb","18","Portland - SE Lafayette","19","79.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/14/2023","AQS","410510080","1","13.4","ppb","12","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"01/15/2023","AQS","410510080","1","7.4","ppb","7","Portland - SE Lafayette","24","100.0000","42602","Nitrogen dioxide (NO2)","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
