Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2017-06-16,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-17,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-18,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-19,5.4,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-20,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-21,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-22,3.6,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-23,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-24,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-25,4.5,19,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-26,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-27,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-28,4.9,20,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-29,6.1,25,"Portland-Vancouver-Hillsboro, OR-WA"
2017-06-30,7.3,30,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-01,5.4,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-02,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-03,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-04,6.1,25,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-05,8.6,36,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-06,6.8,28,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-07,5.8,24,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-08,5.3,22,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-09,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-10,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-11,3.4,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-12,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-13,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-14,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-15,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-16,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-17,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-18,4.1,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-19,3.2,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-20,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-21,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-22,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-23,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-24,4.9,20,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-25,5.6,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-26,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-27,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-28,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-29,3.2,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-30,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2017-07-31,4.1,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-01,9.7,40,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-02,39.8,112,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-03,57.9,152,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-04,32.8,95,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-05,7.4,31,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-06,14.5,56,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-07,22.2,72,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-08,34.8,99,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-09,34.2,97,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-10,28.7,86,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-11,19,66,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-12,6.9,29,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-13,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-14,5.2,22,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-15,5.5,23,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-16,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-17,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-18,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-19,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-20,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-21,4.9,20,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-22,7.6,32,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-23,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-24,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-25,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-26,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-27,12.1,51,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-28,30.7,90,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-29,44.2,122,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-30,3.4,14,"Portland-Vancouver-Hillsboro, OR-WA"
2017-08-31,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-01,4.3,18,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-02,4.6,19,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-03,13.6,54,"Portland-Vancouver-Hillsboro, OR-WA"
2017-09-04,36.5,103,"Portland-Vancouver-Hillsboro, OR-WA"
